case_index,geometry_id_inferred,Re,split,fluid_cells,geometry_mask_sha256
22,8,50,train,13744,c3010424686b357d78aa6c4e346449603f21472a4b74003a397969a45696fef2
23,9,100,train,13744,ebb021caea05be29ba138840118dae5c4d14ff8f917f3dec66164b858637dfb5
24,9,25,train,13744,ebb021caea05be29ba138840118dae5c4d14ff8f917f3dec66164b858637dfb5
25,9,50,train,13744,ebb021caea05be29ba138840118dae5c4d14ff8f917f3dec66164b858637dfb5
26,10,100,validation,13704,df561b3ddec7208c7585be6afe90d76f9e735e4c57e6708eede90aa49cde8c20
27,10,25,validation,13704,df561b3ddec7208c7585be6afe90d76f9e735e4c57e6708eede90aa49cde8c20
28,10,50,validation,13704,df561b3ddec7208c7585be6afe90d76f9e735e4c57e6708eede90aa49cde8c20
29,11,100,test,13710,1ded89f67732ccc2cc49d7460b3dc0ef10fa32a4f29b545dfd130396c7cfce57
30,11,25,test,13710,1ded89f67732ccc2cc49d7460b3dc0ef10fa32a4f29b545dfd130396c7cfce57
31,11,50,test,13710,1ded89f67732ccc2cc49d7460b3dc0ef10fa32a4f29b545dfd130396c7cfce57
32,12,25,train,15362,fc530935ea6f70d3bbe8ad6735bcfd79bf819bad1c339aa595287bc21e30dfed
33,12,50,train,15362,fc530935ea6f70d3bbe8ad6735bcfd79bf819bad1c339aa595287bc21e30dfed
34,13,25,train,13547,b62426c2fae9b227baede65a24a00620e8d1d7ab5b83799717891031880e37eb
35,13,50,train,13547,b62426c2fae9b227baede65a24a00620e8d1d7ab5b83799717891031880e37eb
36,14,100,train,16650,567150d4e84aa41fe4b282dc5036623be64ef7701ef8f903360b244c130132d1
37,14,50,train,16650,567150d4e84aa41fe4b282dc5036623be64ef7701ef8f903360b244c130132d1
38,15,100,validation,17100,cf27be27be1e37f5aebdbb04f0e6652956a3625ce16b7d6ae8afcb11e2358122
39,15,50,validation,17100,cf27be27be1e37f5aebdbb04f0e6652956a3625ce16b7d6ae8afcb11e2358122
40,16,100,train,16830,bb8772f43842a85a06428918ff6dd33ab5f4ac289df2f264c0ab99ec0372a045
41,16,50,train,16830,bb8772f43842a85a06428918ff6dd33ab5f4ac289df2f264c0ab99ec0372a045
42,17,100,validation,16380,6422254bd6b2eaa391bbd9091e7dac093cca406dbd123e8580ff8d343b60ee14
43,17,50,validation,16380,6422254bd6b2eaa391bbd9091e7dac093cca406dbd123e8580ff8d343b60ee14
44,18,100,train,16200,926d1c20d9b1d8f64197360fa3483bde6238a95f9b36d2dc4d1821215f797069
45,18,50,train,16200,926d1c20d9b1d8f64197360fa3483bde6238a95f9b36d2dc4d1821215f797069
46,19,100,train,16020,7924ebc582e9bc14d9b1838254a2843bec2c7c9696a6dd67b069a3435004ff7a
47,19,50,train,16020,7924ebc582e9bc14d9b1838254a2843bec2c7c9696a6dd67b069a3435004ff7a
48,20,100,train,15840,c7152eb7f6d081c5c90fba0fbddfb3647b009ce3c4ab5e27b777cb0e3d3abdc2
49,20,50,train,15840,c7152eb7f6d081c5c90fba0fbddfb3647b009ce3c4ab5e27b777cb0e3d3abdc2
50,21,100,train,15660,a5fd21a2e3a05d94aac1fa91437227e7fef8be264226fa76d172be10f68c0808
51,21,50,train,15660,a5fd21a2e3a05d94aac1fa91437227e7fef8be264226fa76d172be10f68c0808
52,22,100,train,15300,e2042f1d9fa289b6afcd870b03a97e3651a4cbd4e2909aef94a004c455f96ced
53,22,25,train,15300,e2042f1d9fa289b6afcd870b03a97e3651a4cbd4e2909aef94a004c455f96ced
54,22,50,train,15300,e2042f1d9fa289b6afcd870b03a97e3651a4cbd4e2909aef94a004c455f96ced
55,23,100,train,14850,94bb736883557abd653dcb3a48f3656d7981012a19045e9d3d2c53d0cc55c5c9
56,23,25,train,14850,94bb736883557abd653dcb3a48f3656d7981012a19045e9d3d2c53d0cc55c5c9
57,23,50,train,14850,94bb736883557abd653dcb3a48f3656d7981012a19045e9d3d2c53d0cc55c5c9
58,24,100,train,14760,5cb6a73a308e361a6f8c5f2dc482a3aefbb941d462b3895308c1429d0604378f
59,24,25,train,14760,5cb6a73a308e361a6f8c5f2dc482a3aefbb941d462b3895308c1429d0604378f
60,24,50,train,14760,5cb6a73a308e361a6f8c5f2dc482a3aefbb941d462b3895308c1429d0604378f
61,25,100,train,14580,11ac8c63fd87645441c4e24b0cedec7519af40d2910ae84262fa6145e18c5e31
62,25,25,train,14580,11ac8c63fd87645441c4e24b0cedec7519af40d2910ae84262fa6145e18c5e31
63,25,50,train,14580,11ac8c63fd87645441c4e24b0cedec7519af40d2910ae84262fa6145e18c5e31
64,26,25,train,14400,3b38caa897dadbfa31ad346035ab71d2bbaebf583f6630bf1a07466b55b663f7
65,26,50,train,14400,3b38caa897dadbfa31ad346035ab71d2bbaebf583f6630bf1a07466b55b663f7
66,27,25,train,14220,948f800a90b0bc886cec7cd1592549daccb1c3f9137e35ea272be6a7b3c468fb
67,27,50,train,14220,948f800a90b0bc886cec7cd1592549daccb1c3f9137e35ea272be6a7b3c468fb
68,28,25,validation,13950,a163cd296760a5907c8dc49dfc950aaf38f52723dd7c7dbc9580daa94f90a1fb
69,28,50,validation,13950,a163cd296760a5907c8dc49dfc950aaf38f52723dd7c7dbc9580daa94f90a1fb
70,29,100,train,15047,179a971cc6b4fd62b06e94f8d29f4f417d16ca0fe1fbb8889be3f51b647589d1
71,29,50,train,15047,179a971cc6b4fd62b06e94f8d29f4f417d16ca0fe1fbb8889be3f51b647589d1
72,30,100,train,15125,cf8c8fc48db0c8ddb6ed4940363710cefcec707285c34ad5cc12dee3e6208844
73,30,25,train,15125,cf8c8fc48db0c8ddb6ed4940363710cefcec707285c34ad5cc12dee3e6208844
74,30,50,train,15125,cf8c8fc48db0c8ddb6ed4940363710cefcec707285c34ad5cc12dee3e6208844
75,31,100,train,15058,95ff9da63fc69d98caf6ddea4002e935637e4beb74af83e7337d765d4cd0c82f
76,31,25,train,15058,95ff9da63fc69d98caf6ddea4002e935637e4beb74af83e7337d765d4cd0c82f
77,31,50,train,15058,95ff9da63fc69d98caf6ddea4002e935637e4beb74af83e7337d765d4cd0c82f
78,32,100,train,15656,fc9f1acfed342bcbd71871047d87a92c32718a543f518a211e1669b5dfe2b0f4
79,32,25,train,15656,fc9f1acfed342bcbd71871047d87a92c32718a543f518a211e1669b5dfe2b0f4
80,32,50,train,15656,fc9f1acfed342bcbd71871047d87a92c32718a543f518a211e1669b5dfe2b0f4
81,33,100,train,15350,dedf6eb3b5acf34bd505f2a9967811ca53eb4b9f88f5e323422741fc2092eb6c
82,33,25,train,15350,dedf6eb3b5acf34bd505f2a9967811ca53eb4b9f88f5e323422741fc2092eb6c
83,33,50,train,15350,dedf6eb3b5acf34bd505f2a9967811ca53eb4b9f88f5e323422741fc2092eb6c
84,34,100,train,15201,06e7af42a99b8e9e9c758eb2b972e9255260c12f211e05122ef7e909684c4ba0
85,34,25,train,15201,06e7af42a99b8e9e9c758eb2b972e9255260c12f211e05122ef7e909684c4ba0
86,34,50,train,15201,06e7af42a99b8e9e9c758eb2b972e9255260c12f211e05122ef7e909684c4ba0
87,35,100,validation,14490,d76f08f5aae4c96e6c99172e7a4090bf480915f00619ee38d76c9c2b9e1ca596
88,35,25,validation,14490,d76f08f5aae4c96e6c99172e7a4090bf480915f00619ee38d76c9c2b9e1ca596
89,35,50,validation,14490,d76f08f5aae4c96e6c99172e7a4090bf480915f00619ee38d76c9c2b9e1ca596
90,36,100,train,14825,b06c95fe1e05608f2fb1bc76aedabe61c9b98c11640484939709ecb082927b7b
91,36,25,train,14825,b06c95fe1e05608f2fb1bc76aedabe61c9b98c11640484939709ecb082927b7b
92,36,50,train,14825,b06c95fe1e05608f2fb1bc76aedabe61c9b98c11640484939709ecb082927b7b
93,37,100,train,14378,7d3e7f3758bded7c519541a7d7b69441e0d273a74b9931430866121f1b63478c
94,37,25,train,14378,7d3e7f3758bded7c519541a7d7b69441e0d273a74b9931430866121f1b63478c
95,37,50,train,14378,7d3e7f3758bded7c519541a7d7b69441e0d273a74b9931430866121f1b63478c
96,38,25,train,13723,2e2193aa637ed653cb09bf8be0ac1528ffd960b3df43c824d29f77f1f634c74a
97,38,50,train,13723,2e2193aa637ed653cb09bf8be0ac1528ffd960b3df43c824d29f77f1f634c74a
98,39,100,train,15329,e1a5f0d1686c86c56be75e9c9d4c00575312b6169de7efcafbb63cf13d0e363e
99,39,25,train,15329,e1a5f0d1686c86c56be75e9c9d4c00575312b6169de7efcafbb63cf13d0e363e
100,39,50,train,15329,e1a5f0d1686c86c56be75e9c9d4c00575312b6169de7efcafbb63cf13d0e363e
101,40,100,train,15258,96c6bef805350d8165e53a8218a0653d0eb7a744cc054256a77f57f54e360093
102,40,50,train,15258,96c6bef805350d8165e53a8218a0653d0eb7a744cc054256a77f57f54e360093
103,41,25,train,14119,91d49d606802e2a972193cd0dc9fab687071bd322de879956e84e2060db29e3d
104,41,50,train,14119,91d49d606802e2a972193cd0dc9fab687071bd322de879956e84e2060db29e3d
105,42,25,validation,14826,bc89411aafebc4cceb1b0d77f5eccad698491fd1b1c3630a4aae25d2264d701d
106,42,50,validation,14826,bc89411aafebc4cceb1b0d77f5eccad698491fd1b1c3630a4aae25d2264d701d
107,43,100,train,13560,034c5a501001650286ea883b7a30858c9f5c8aa49acb32433110481d04e1a620
108,43,25,train,13560,034c5a501001650286ea883b7a30858c9f5c8aa49acb32433110481d04e1a620
109,43,50,train,13560,034c5a501001650286ea883b7a30858c9f5c8aa49acb32433110481d04e1a620
110,44,100,validation,14479,a1c7f05359bd5f1029ea2a940e4a79a85922331b0896363ea6ce1453c15d3ec9
111,44,25,validation,14479,a1c7f05359bd5f1029ea2a940e4a79a85922331b0896363ea6ce1453c15d3ec9
112,44,50,validation,14479,a1c7f05359bd5f1029ea2a940e4a79a85922331b0896363ea6ce1453c15d3ec9
113,45,100,train,16220,02ec1be3fee95483c7f5cd8f26609e8ff81bda356782310a46fe064f4298c009
114,45,25,train,16220,02ec1be3fee95483c7f5cd8f26609e8ff81bda356782310a46fe064f4298c009
115,45,50,train,16220,02ec1be3fee95483c7f5cd8f26609e8ff81bda356782310a46fe064f4298c009
116,46,100,train,16060,571cd24f5f600906ed4591b355e78630f845a5f050451b7fb1ca263f5eda249f
117,46,25,train,16060,571cd24f5f600906ed4591b355e78630f845a5f050451b7fb1ca263f5eda249f
118,46,50,train,16060,571cd24f5f600906ed4591b355e78630f845a5f050451b7fb1ca263f5eda249f
119,47,100,validation,15740,2b517d0c23f4b3187d497a115fbbdfc434319add25f6464bb65bc7c655e9ffe6
120,47,25,validation,15740,2b517d0c23f4b3187d497a115fbbdfc434319add25f6464bb65bc7c655e9ffe6
121,47,50,validation,15740,2b517d0c23f4b3187d497a115fbbdfc434319add25f6464bb65bc7c655e9ffe6
122,48,100,train,15440,14c92825134a26b2389940b8c38fe04569dcf7cda331045ad5f2e29d9d3a073d
123,48,25,train,15440,14c92825134a26b2389940b8c38fe04569dcf7cda331045ad5f2e29d9d3a073d
124,48,50,train,15440,14c92825134a26b2389940b8c38fe04569dcf7cda331045ad5f2e29d9d3a073d
125,49,100,train,16230,639e49daa04ea85cf4eec245023180cdfa898e98d8ebdb6c013978036f28d2da
126,49,25,train,16230,639e49daa04ea85cf4eec245023180cdfa898e98d8ebdb6c013978036f28d2da
127,49,50,train,16230,639e49daa04ea85cf4eec245023180cdfa898e98d8ebdb6c013978036f28d2da
128,50,25,validation,16090,4ef03cede5b1be53e8dd74aafd880ac86237d38d923e0b1987fcecdeba3487b7
129,51,25,train,15790,d75b03a4d453e41ed448333d654c14ba7b60236426b51461ee5a25251f44cf8b
